Country,Deaths,Population,Deaths per 100k
US,56259,"331,002,651",17
Italy,26977,"60,461,826",44.62
Spain,23521,"46,754,778",50.31
France,23327,"65,273,511",35.74
United Kingdom,21157,"67,886,011",31.17
Belgium,7207,"11,589,623",62.18
Germany,6126,"83,783,942",7.31
Netherlands,4534,"17,134,872",26.46
Sweden,2274,"10,099,265",22.52
Switzerland,1665,"8,654,622",19.24
Ireland,1102,"4,937,786",22.32
Portugal,928,"10,196,709",9.1
Austria,549,"9,006,398",6.1
Denmark,427,"5,792,202",7.37
Australia,83,"25,499,884",0.33
